model,domain,dataset,n,median,max,p90,p95,p99
potion-base-32m,chrome,verdict,36,0.3971194624900818,0.8578406572341919,0.5985866785049438,,
potion-base-32m,chrome,lower,46,0.43871647119522095,0.5906485915184021,0.5509479343891144,,
potion-base-32m,chrome,cross_floor,46,0.2819031924009323,0.5297144651412964,0.4158829152584076,,
potion-base-32m,chrome,upper,230,0.8715899884700775,0.9979671239852905,0.9538707494735718,0.9694928646087646,0.9872274959087372
potion-base-32m,gimp,verdict,55,0.5101316571235657,0.7915350198745728,0.7070958375930786,0.7402255892753601,
potion-base-32m,gimp,lower,26,0.47316649556159973,0.889606237411499,,,
potion-base-32m,gimp,cross_floor,26,0.41377443075180054,0.5366277098655701,,,
potion-base-32m,gimp,upper,130,0.889860987663269,0.9999799728393555,0.9656264424324036,0.9799894779920578,0.9939094960689544
potion-base-32m,vlc,verdict,48,0.47378696501255035,0.7746632099151611,0.6292696595191957,,
potion-base-32m,vlc,lower,17,0.5146346688270569,0.6291491985321045,,,
potion-base-32m,vlc,cross_floor,17,0.455605149269104,0.5366277098655701,,,
potion-base-32m,vlc,upper,85,0.8389667272567749,0.9954248070716858,0.9505469679832459,0.9765165567398071,
