model,domain,n_ours,cross_floor_median,lower_median,ours_median,upper_median,ours_max,ours_p90,ours_p95,ours_p99,auc_vs_lower,auc_vs_lower_ci_lo,auc_vs_lower_ci_hi,auc_vs_upper,n_eval_items,eval_max_sim_to_training,flag_threshold,n_flagged,n_flagged_at_p5,n_flagged_at_p10,exhausted_n,exhausted_median,exhausted_max,unused_n,unused_median,unused_max,auc_exhausted_vs_unused
potion-base-32m,chrome,36,0.2819031924009323,0.43871647119522095,0.3971194624900818,0.8715899884700775,0.8578406572341919,0.5985866785049438,,,0.46980676328502413,0.34418780193236714,0.6056914251207729,0.9849033816425121,46,0.8578406572341919,0.665859580039978,1,1,1,22,0.40871432423591614,0.8578406572341919,24,0.23821070045232773,0.39220306277275085,0.7992424242424242
potion-base-32m,gimp,55,0.41377443075180054,0.47316649556159973,0.5101316571235657,0.889860987663269,0.7915350198745728,0.7070958375930786,0.7402255892753601,,0.5405594405594406,0.40062937062937065,0.6776223776223776,0.990909090909091,26,0.7915350198745728,0.6704500913619995,9,2,0,18,0.6645045876502991,0.7915350198745728,8,0.5150073170661926,0.5997883081436157,0.8888888888888888
potion-base-32m,vlc,48,0.455605149269104,0.5146346688270569,0.47378696501255035,0.8389667272567749,0.7746632099151611,0.6292696595191957,,,0.4007352941176471,0.2659313725490196,0.5490502450980391,0.9938725490196079,17,0.7746632099151611,0.7229417562484741,1,1,1,15,0.5857933759689331,0.7746632099151611,2,0.5249944031238556,0.5529513359069824,0.6333333333333333
