model,domain,dataset,left_id,top1,top2,gap,ratio,top1_right_id
potion-base-32m,chrome,verdict,altdate_cheapest,0.497737,0.458263,0.039474,0.927134,fc6d8143-9452-4171-9459-7f515143419a
potion-base-32m,chrome,verdict,attraction_view_london_eye,0.334139,0.309284,0.024855,0.964016,b7895e80-f4d1-4648-bee0-4eb45a6f1fa8
potion-base-32m,chrome,verdict,car_electric_fuel,0.422871,0.373624,0.049246,0.921379,82279c77-8fc6-46f6-9622-3ba96f61b477
potion-base-32m,chrome,verdict,car_large_price_sort,0.382694,0.377688,0.005005,0.991957,47543840-672a-467d-80df-8f7c3b9788c9
potion-base-32m,chrome,verdict,car_rating_sort,0.476755,0.463685,0.013069,0.975631,47543840-672a-467d-80df-8f7c3b9788c9
potion-base-32m,chrome,verdict,checkout_fill_email_stop,0.571935,0.370975,0.20096,0.680521,da46d875-6b82-4681-9284-653b0c7ae241
potion-base-32m,chrome,verdict,currency_switch_eur,0.291195,0.259328,0.031867,0.956976,c1fa57f3-c3db-4596-8f09-020701085416
potion-base-32m,chrome,verdict,flight_business_cabin,0.588445,0.536635,0.051809,0.888189,6c4c23a1-42a4-43cc-9db1-2f86ff3738cc
potion-base-32m,chrome,verdict,flight_oneway_2adults,0.550392,0.367094,0.183298,0.710387,f79439ad-3ee8-4f99-a518-0eb60e5652b0
potion-base-32m,chrome,verdict,flight_route_date_tomorrow,0.608729,0.437261,0.171468,0.695298,fc6d8143-9452-4171-9459-7f515143419a
potion-base-32m,chrome,verdict,flight_route_next_monday,0.661085,0.48202,0.179065,0.654301,82bc8d6a-36eb-4d2d-8801-ef714fb1e55a
potion-base-32m,chrome,verdict,geo_hierarchy_italy_rome,0.348799,0.333872,0.014927,0.977591,f79439ad-3ee8-4f99-a518-0eb60e5652b0
potion-base-32m,chrome,verdict,geo_hierarchy_spain_madrid,0.354389,0.335169,0.019221,0.971089,9f935cce-0a9f-435f-8007-817732bfc0a5
potion-base-32m,chrome,verdict,help_category_manage_booking,0.317656,0.291264,0.026392,0.962761,a96b564e-dbe9-42c3-9ccf-b4498073438a
potion-base-32m,chrome,verdict,help_search_cancel,0.369737,0.332402,0.037335,0.944076,f3b19d1e-2d48-44e9-b4e1-defcae1a0197
potion-base-32m,chrome,verdict,help_search_refund,0.2979,0.262252,0.035648,0.95168,f3b19d1e-2d48-44e9-b4e1-defcae1a0197
potion-base-32m,chrome,verdict,hotel_multi_filter_genius_review,0.338995,0.278521,0.060474,0.916181,b7895e80-f4d1-4648-bee0-4eb45a6f1fa8
potion-base-32m,chrome,verdict,hotel_open_detail,0.411545,0.314505,0.09704,0.858437,b7895e80-f4d1-4648-bee0-4eb45a6f1fa8
potion-base-32m,chrome,verdict,hotel_price_sort,0.857841,0.515966,0.341875,0.293697,b7895e80-f4d1-4648-bee0-4eb45a6f1fa8
potion-base-32m,chrome,verdict,hotel_review_genius_filter,0.526227,0.386932,0.139295,0.772791,b7895e80-f4d1-4648-bee0-4eb45a6f1fa8
potion-base-32m,chrome,verdict,hotel_search_price_sort,0.761342,0.562394,0.198948,0.545372,b7895e80-f4d1-4648-bee0-4eb45a6f1fa8
potion-base-32m,chrome,verdict,hotel_top_reviewed_open,0.475031,0.30878,0.166252,0.759481,b7895e80-f4d1-4648-bee0-4eb45a6f1fa8
potion-base-32m,chrome,verdict,info_sustainability,0.300469,0.242147,0.058322,0.923043,f3b19d1e-2d48-44e9-b4e1-defcae1a0197
potion-base-32m,chrome,verdict,language_switch_french,0.283137,0.218582,0.064555,0.917387,3720f614-37fd-4d04-8a6b-76f54f8c222d
potion-base-32m,chrome,verdict,multicity_three_segments,0.487381,0.433522,0.053859,0.904923,f79439ad-3ee8-4f99-a518-0eb60e5652b0
potion-base-32m,chrome,verdict,package_filter_4star,0.372109,0.296575,0.075534,0.892619,b7895e80-f4d1-4648-bee0-4eb45a6f1fa8
potion-base-32m,chrome,verdict,package_free_cancellation_filter,0.315523,0.268576,0.046947,0.935814,7b6c7e24-c58a-49fc-a5bb-d57b80e5b4c3
potion-base-32m,chrome,verdict,package_search_london_barcelona,0.4908,0.416514,0.074286,0.872686,f79439ad-3ee8-4f99-a518-0eb60e5652b0
potion-base-32m,chrome,verdict,package_sort_lowest_price,0.5115,0.464205,0.047295,0.91173,b7895e80-f4d1-4648-bee0-4eb45a6f1fa8
potion-base-32m,chrome,verdict,taxi_filter_luxury,0.329179,0.258975,0.070204,0.905261,47543840-672a-467d-80df-8f7c3b9788c9
potion-base-32m,chrome,verdict,taxi_search_lhr_3pax,0.455989,0.406953,0.049037,0.917314,fc6d8143-9452-4171-9459-7f515143419a
potion-base-32m,chrome,verdict,taxi_sort_most_passengers,0.556058,0.407459,0.148598,0.749219,47543840-672a-467d-80df-8f7c3b9788c9
potion-base-32m,chrome,verdict,trips_cancel_booking,0.343792,0.269179,0.074613,0.897905,b7895e80-f4d1-4648-bee0-4eb45a6f1fa8
potion-base-32m,chrome,verdict,trips_modify_checkin_date,0.322959,0.301799,0.021161,0.969693,b7895e80-f4d1-4648-bee0-4eb45a6f1fa8
potion-base-32m,chrome,verdict,trips_signin_email,0.335925,0.291635,0.04429,0.937476,da46d875-6b82-4681-9284-653b0c7ae241
potion-base-32m,chrome,verdict,trips_status_filter_cancelled,0.357442,0.354448,0.002994,0.995361,6c4c23a1-42a4-43cc-9db1-2f86ff3738cc
potion-base-32m,chrome,lower,030eeff7-b492-4218-b312-701ec99ee0cc,0.505159,0.472853,0.032307,0.938714,99146c54-4f37-4ab8-9327-5f3291665e1e
potion-base-32m,chrome,lower,06fe7178-4491-4589-810f-2e2bc9502122,0.439106,0.398542,0.040565,0.932556,99146c54-4f37-4ab8-9327-5f3291665e1e
potion-base-32m,chrome,lower,0d8b7de3-e8de-4d86-b9fd-dd2dce58a217,0.486422,0.355099,0.131323,0.796366,9f935cce-0a9f-435f-8007-817732bfc0a5
