model,domain,n_ours,cross_floor_median,lower_median,ours_median,upper_median,ours_max,ours_p90,ours_p95,ours_p99,auc_vs_lower,auc_vs_lower_ci_lo,auc_vs_lower_ci_hi,auc_vs_upper,n_eval_items,eval_max_sim_to_training,flag_threshold,n_flagged,n_flagged_at_p5,n_flagged_at_p10,exhausted_n,exhausted_median,exhausted_max,unused_n,unused_median,unused_max,auc_exhausted_vs_unused
bge-large-en-v1.5,chrome,36,0.5382323265075684,0.6605916917324066,0.6488307118415833,0.9149557948112488,0.8466140031814575,0.7613371312618256,,,0.4969806763285024,0.3701539855072464,0.6286231884057971,0.9981884057971014,46,0.8466140031814575,0.8009505271911621,2,0,0,22,0.63518425822258,0.8466140031814575,24,0.5502886474132538,0.6834742426872253,0.7821969696969697
bge-large-en-v1.5,gimp,55,0.6622841060161591,0.7315568029880524,0.7200943231582642,0.951162576675415,0.8971039056777954,0.8272956013679504,0.8453795373439789,,0.45734265734265733,0.3202797202797203,0.5979020979020979,1.0,26,0.8971039056777954,0.908121645450592,0,0,0,18,0.798866480588913,0.8971039056777954,8,0.7148020565509796,0.8313753604888916,0.9097222222222222
bge-large-en-v1.5,vlc,48,0.6416184306144714,0.7093183994293213,0.6942462921142578,0.8959589004516602,0.8457800149917603,0.7852595448493958,,,0.4840686274509804,0.3345281862745098,0.6360600490196077,0.9975490196078431,17,0.8457800149917603,0.8377524614334106,2,0,0,15,0.7805792093276978,0.8457800149917603,2,0.6797651052474976,0.7710438370704651,0.7666666666666667
