model,domain,dataset,left_id,top1,top2,gap,ratio,top1_right_id
uae-large-v1,chrome,verdict,altdate_cheapest,0.600218,0.594644,0.005574,0.986249,f79439ad-3ee8-4f99-a518-0eb60e5652b0
uae-large-v1,chrome,verdict,attraction_view_london_eye,0.540251,0.539746,0.000504,0.998904,b7895e80-f4d1-4648-bee0-4eb45a6f1fa8
uae-large-v1,chrome,verdict,car_electric_fuel,0.661052,0.630276,0.030776,0.91676,82279c77-8fc6-46f6-9622-3ba96f61b477
uae-large-v1,chrome,verdict,car_large_price_sort,0.718237,0.643607,0.07463,0.790598,1704f00f-79e6-43a7-961b-cedd3724d5fd
uae-large-v1,chrome,verdict,car_rating_sort,0.680077,0.621898,0.058179,0.846128,1704f00f-79e6-43a7-961b-cedd3724d5fd
uae-large-v1,chrome,verdict,checkout_fill_email_stop,0.580148,0.552353,0.027795,0.937908,da46d875-6b82-4681-9284-653b0c7ae241
uae-large-v1,chrome,verdict,currency_switch_eur,0.573318,0.554775,0.018543,0.958351,3720f614-37fd-4d04-8a6b-76f54f8c222d
uae-large-v1,chrome,verdict,flight_business_cabin,0.624801,0.617541,0.007261,0.981015,6c4c23a1-42a4-43cc-9db1-2f86ff3738cc
uae-large-v1,chrome,verdict,flight_oneway_2adults,0.725546,0.578136,0.147411,0.650573,f79439ad-3ee8-4f99-a518-0eb60e5652b0
uae-large-v1,chrome,verdict,flight_route_date_tomorrow,0.713003,0.592905,0.120097,0.704989,fc6d8143-9452-4171-9459-7f515143419a
uae-large-v1,chrome,verdict,flight_route_next_monday,0.759275,0.695507,0.063768,0.790576,82bc8d6a-36eb-4d2d-8801-ef714fb1e55a
uae-large-v1,chrome,verdict,geo_hierarchy_italy_rome,0.615655,0.527676,0.087979,0.813732,b7895e80-f4d1-4648-bee0-4eb45a6f1fa8
uae-large-v1,chrome,verdict,geo_hierarchy_spain_madrid,0.580109,0.575176,0.004933,0.988388,f79439ad-3ee8-4f99-a518-0eb60e5652b0
uae-large-v1,chrome,verdict,help_category_manage_booking,0.661022,0.651158,0.009864,0.971725,f3b19d1e-2d48-44e9-b4e1-defcae1a0197
uae-large-v1,chrome,verdict,help_search_cancel,0.620094,0.559341,0.060753,0.862131,f3b19d1e-2d48-44e9-b4e1-defcae1a0197
uae-large-v1,chrome,verdict,help_search_refund,0.572281,0.545249,0.027032,0.940557,f3b19d1e-2d48-44e9-b4e1-defcae1a0197
uae-large-v1,chrome,verdict,hotel_multi_filter_genius_review,0.539597,0.483506,0.05609,0.891401,b7895e80-f4d1-4648-bee0-4eb45a6f1fa8
uae-large-v1,chrome,verdict,hotel_open_detail,0.627041,0.547441,0.079601,0.82411,b7895e80-f4d1-4648-bee0-4eb45a6f1fa8
uae-large-v1,chrome,verdict,hotel_price_sort,0.824996,0.531584,0.293412,0.373608,b7895e80-f4d1-4648-bee0-4eb45a6f1fa8
