model,domain,n_ours,cross_floor_median,lower_median,ours_median,upper_median,ours_max,ours_p90,ours_p95,ours_p99,auc_vs_lower,auc_vs_upper,n_eval_items,eval_max_sim_to_training,flag_threshold,n_flagged
bge-large-en-v1.5,chrome,36,0.5382323265075684,0.6605916917324066,0.6488307118415833,0.9149557948112488,0.8466140031814575,0.7613371312618256,,,0.4969806763285024,0.9981884057971014,46,0.8466140031814575,0.8009505271911621,2
bge-large-en-v1.5,gimp,55,0.6622841060161591,0.7315568029880524,0.7274326086044312,0.951162576675415,0.8971039056777954,0.8336272835731506,0.8575465261936188,,0.4727272727272727,1.0,26,0.8971039056777954,0.908121645450592,0
bge-large-en-v1.5,vlc,48,0.6416184306144714,0.7093183994293213,0.6942462921142578,0.8959589004516602,0.8457800149917603,0.7852595448493958,,,0.4840686274509804,0.9975490196078431,17,0.8457800149917603,0.8377524614334106,2
gte-large,chrome,36,0.7742027640342712,0.8423919379711151,0.844462662935257,0.9669418334960938,0.919553279876709,0.8905982077121735,,,0.6340579710144928,1.0,46,0.919553279876709,0.9267595410346985,0
gte-large,gimp,55,0.8228279054164886,0.8605701923370361,0.8574880361557007,0.9716455042362213,0.9464324116706848,0.9134160280227661,0.9334933996200561,,0.4888111888111888,1.0,26,0.9464324116706848,0.9549486637115479,0
gte-large,vlc,48,0.8214654922485352,0.8650637269020081,0.8661719858646393,0.9561173915863037,0.9225600957870483,0.9035139679908752,,,0.5343137254901961,1.0,17,0.9225600957870483,0.9315482378005981,0
uae-large-v1,chrome,36,0.47925838828086853,0.6072884500026703,0.6140077114105225,0.9210073947906494,0.8249961137771606,0.7218915820121765,,,0.5658212560386473,0.9993961352657005,46,0.8249961137771606,0.8171660900115967,1
uae-large-v1,gimp,55,0.6192792057991028,0.6918333172798157,0.6925492286682129,0.9504662156105042,0.8850337862968445,0.8181675434112549,0.8356839179992676,,0.4965034965034965,1.0,26,0.8850337862968445,0.9098913669586182,0
uae-large-v1,vlc,48,0.5920982360839844,0.6983404159545898,0.6793934404850006,0.9021742343902588,0.831516444683075,0.7928713262081146,,,0.49754901960784315,1.0,17,0.831516444683075,0.8626787662506104,0
