model,domain,n_ours,floor_median,baseline_median,ours_median,paraphrased_median,ours_max,ours_p90,ours_p95,ours_p99,auc_vs_baseline,auc_vs_baseline_ci_lo,auc_vs_baseline_ci_hi,auc_vs_paraphrased,n_eval_items,eval_max_sim_to_training,flag_threshold,n_flagged,n_flagged_at_p5,n_flagged_at_p10,exhausted_n,exhausted_median,exhausted_max,unused_n,unused_median,unused_max,auc_exhausted_vs_unused
bge-large-en-v1.5,chrome,36,0.5382323265075684,0.6605916917324066,0.6488307118415833,0.9149557948112488,0.8466140031814575,0.7613371312618256,,,0.4969806763285024,0.3701539855072464,0.6286231884057971,0.9981884057971014,46,0.8466140031814575,0.8009505271911621,2,0,0,22,0.63518425822258,0.8466140031814575,24,0.5502886474132538,0.6834742426872253,0.7821969696969697
bge-large-en-v1.5,gimp,55,0.6622841060161591,0.7315568029880524,0.7200943231582642,0.951162576675415,0.8971039056777954,0.8272956013679504,0.8453795373439789,,0.45734265734265733,0.3202797202797203,0.5979020979020979,1.0,26,0.8971039056777954,0.908121645450592,0,0,0,18,0.798866480588913,0.8971039056777954,8,0.7148020565509796,0.8313753604888916,0.9097222222222222
bge-large-en-v1.5,vlc,48,0.6416184306144714,0.7093183994293213,0.6942462921142578,0.8959589004516602,0.8457800149917603,0.7852595448493958,,,0.4840686274509804,0.3345281862745098,0.6360600490196077,0.9975490196078431,17,0.8457800149917603,0.8377524614334106,2,0,0,15,0.7805792093276978,0.8457800149917603,2,0.6797651052474976,0.7710438370704651,0.7666666666666667
gte-large,chrome,36,0.7742027640342712,0.8423919379711151,0.844462662935257,0.9669418334960938,0.919553279876709,0.8905982077121735,,,0.6340579710144928,0.5090579710144928,0.7548460144927536,1.0,46,0.919553279876709,0.9267595410346985,0,0,0,22,0.8308351039886475,0.919553279876709,24,0.785017341375351,0.8717787861824036,0.7727272727272727
gte-large,gimp,55,0.8228279054164886,0.8605701923370361,0.8574880361557007,0.9716455042362213,0.9464324116706848,0.911766767501831,0.9217001140117645,,0.4797202797202797,0.34055944055944054,0.6224125874125872,1.0,26,0.9464324116706848,0.9549486637115479,0,0,0,18,0.906457930803299,0.9464324116706848,8,0.8569207191467285,0.9198944568634033,0.8819444444444444
gte-large,vlc,48,0.8214654922485352,0.8650637269020081,0.8661719858646393,0.9561173915863037,0.9225600957870483,0.9035139679908752,,,0.5343137254901961,0.3884497549019608,0.6777267156862744,1.0,17,0.9225600957870483,0.9315482378005981,0,0,0,15,0.8980715274810791,0.9225600957870483,2,0.8513705432415009,0.8886525630950928,0.9
uae-large-v1,chrome,36,0.47925838828086853,0.6072884500026703,0.6140077114105225,0.9210073947906494,0.8249961137771606,0.7218915820121765,,,0.5658212560386473,0.44021739130434784,0.6944595410628018,0.9993961352657005,46,0.8249961137771606,0.8171660900115967,1,0,0,22,0.5795171856880188,0.8249961137771606,24,0.49975481629371643,0.6144291758537292,0.8068181818181818
uae-large-v1,gimp,55,0.6192792057991028,0.6918333172798157,0.6882204413414001,0.9504662156105042,0.8850337862968445,0.8114980816841125,0.8257607877254486,,0.48391608391608393,0.34195804195804197,0.6230769230769231,1.0,26,0.8850337862968445,0.9098913669586182,0,0,0,18,0.7766350507736206,0.8850337862968445,8,0.6679403185844421,0.8027582168579102,0.8958333333333334
uae-large-v1,vlc,48,0.5920982360839844,0.6983404159545898,0.6793934404850006,0.9021742343902588,0.831516444683075,0.7928713262081146,,,0.49754901960784315,0.34681372549019607,0.6470588235294118,1.0,17,0.831516444683075,0.8626787662506104,0,0,0,15,0.7618445158004761,0.831516444683075,2,0.6721293032169342,0.7589961886405945,0.8333333333333334
