model,domain,dataset,left_id,top1,top2,gap,ratio,top1_right_id
uae-large-v1,chrome,verdict,altdate_cheapest,0.600218,0.594644,0.005574,0.986249,f79439ad-3ee8-4f99-a518-0eb60e5652b0
uae-large-v1,chrome,verdict,car_electric_fuel,0.661052,0.630276,0.030776,0.91676,82279c77-8fc6-46f6-9622-3ba96f61b477
uae-large-v1,chrome,verdict,car_large_price_sort,0.718237,0.643607,0.07463,0.790598,1704f00f-79e6-43a7-961b-cedd3724d5fd
uae-large-v1,chrome,verdict,car_rating_sort,0.680077,0.621898,0.058179,0.846128,1704f00f-79e6-43a7-961b-cedd3724d5fd
uae-large-v1,chrome,verdict,checkout_fill_email_stop,0.580148,0.552353,0.027795,0.937908,da46d875-6b82-4681-9284-653b0c7ae241
uae-large-v1,chrome,verdict,flight_business_cabin,0.624801,0.617541,0.007261,0.981015,6c4c23a1-42a4-43cc-9db1-2f86ff3738cc
uae-large-v1,chrome,verdict,flight_oneway_2adults,0.725546,0.578136,0.147411,0.650573,f79439ad-3ee8-4f99-a518-0eb60e5652b0
uae-large-v1,chrome,verdict,flight_route_date_tomorrow,0.713003,0.592905,0.120097,0.704989,fc6d8143-9452-4171-9459-7f515143419a
uae-large-v1,chrome,verdict,flight_route_next_monday,0.759275,0.695507,0.063768,0.790576,82bc8d6a-36eb-4d2d-8801-ef714fb1e55a
uae-large-v1,chrome,verdict,geo_hierarchy_italy_rome,0.615655,0.527676,0.087979,0.813732,b7895e80-f4d1-4648-bee0-4eb45a6f1fa8
uae-large-v1,chrome,verdict,geo_hierarchy_spain_madrid,0.580109,0.575176,0.004933,0.988388,f79439ad-3ee8-4f99-a518-0eb60e5652b0
uae-large-v1,chrome,verdict,help_category_manage_booking,0.661022,0.651158,0.009864,0.971725,f3b19d1e-2d48-44e9-b4e1-defcae1a0197
uae-large-v1,chrome,verdict,help_search_cancel,0.620094,0.559341,0.060753,0.862131,f3b19d1e-2d48-44e9-b4e1-defcae1a0197
uae-large-v1,chrome,verdict,help_search_refund,0.572281,0.545249,0.027032,0.940557,f3b19d1e-2d48-44e9-b4e1-defcae1a0197
uae-large-v1,chrome,verdict,hotel_multi_filter_genius_review,0.539597,0.483506,0.05609,0.891402,b7895e80-f4d1-4648-bee0-4eb45a6f1fa8
uae-large-v1,chrome,verdict,hotel_open_detail,0.627041,0.54744,0.079601,0.82411,b7895e80-f4d1-4648-bee0-4eb45a6f1fa8
uae-large-v1,chrome,verdict,hotel_price_sort,0.824996,0.531584,0.293412,0.373608,b7895e80-f4d1-4648-bee0-4eb45a6f1fa8
uae-large-v1,chrome,verdict,hotel_review_genius_filter,0.68134,0.53574,0.145601,0.686381,b7895e80-f4d1-4648-bee0-4eb45a6f1fa8
uae-large-v1,chrome,verdict,hotel_search_price_sort,0.760122,0.550346,0.209776,0.533472,b7895e80-f4d1-4648-bee0-4eb45a6f1fa8
uae-large-v1,chrome,verdict,hotel_top_reviewed_open,0.532596,0.493362,0.039234,0.92256,b7895e80-f4d1-4648-bee0-4eb45a6f1fa8
uae-large-v1,chrome,verdict,info_sustainability,0.597486,0.581209,0.016277,0.961134,c1fa57f3-c3db-4596-8f09-020701085416
uae-large-v1,chrome,verdict,multicity_three_segments,0.635567,0.611118,0.02445,0.937128,f79439ad-3ee8-4f99-a518-0eb60e5652b0
uae-large-v1,chrome,lower,030eeff7-b492-4218-b312-701ec99ee0cc,0.745439,0.671474,0.073965,0.774857,9656a811-9b5b-4ddf-99c7-5117bcef0626
uae-large-v1,chrome,lower,06fe7178-4491-4589-810f-2e2bc9502122,0.667042,0.651475,0.015567,0.955334,7a5a7856-f1b6-42a4-ade9-1ca81ca0f263
uae-large-v1,chrome,lower,0d8b7de3-e8de-4d86-b9fd-dd2dce58a217,0.55405,0.539051,0.014999,0.967461,9f935cce-0a9f-435f-8007-817732bfc0a5
uae-large-v1,chrome,lower,12086550-11c0-466b-b367-1d9e75b3910e,0.633693,0.620899,0.012793,0.966254,35253b65-1c19-4304-8aa4-6884b8218fc0
uae-large-v1,chrome,lower,121ba48f-9e17-48ce-9bc6-a4fb17a7ebba,0.537711,0.521039,0.016672,0.965191,f3b19d1e-2d48-44e9-b4e1-defcae1a0197
uae-large-v1,chrome,lower,1704f00f-79e6-43a7-961b-cedd3724d5fd,0.649524,0.601999,0.047525,0.880591,47543840-672a-467d-80df-8f7c3b9788c9
uae-large-v1,chrome,lower,2888b4e6-5b47-4b57-8bf5-c73827890774,0.53221,0.501034,0.031176,0.937519,9f3f70fc-5afc-4958-a7b7-3bb4fcb01805
uae-large-v1,chrome,lower,2ad9387a-65d8-4e33-ad5b-7580065a27ca,0.750174,0.644933,0.105241,0.703602,7a5a7856-f1b6-42a4-ade9-1ca81ca0f263
uae-large-v1,chrome,lower,2ae9ba84-3a0d-4d4c-8338-3a1478dc5fe3,0.644548,0.563502,0.081046,0.814327,3720f614-37fd-4d04-8a6b-76f54f8c222d
uae-large-v1,chrome,lower,3299584d-8f11-4457-bf4c-ce98f7600250,0.619209,0.606428,0.01278,0.967528,9656a811-9b5b-4ddf-99c7-5117bcef0626
uae-large-v1,chrome,lower,35253b65-1c19-4304-8aa4-6884b8218fc0,0.705701,0.67857,0.027131,0.915592,7a5a7856-f1b6-42a4-ade9-1ca81ca0f263
uae-large-v1,chrome,lower,368d9ba4-203c-40c1-9fa3-da2f1430ce63,0.507542,0.494394,0.013147,0.973997,b4f95342-463e-4179-8c3f-193cd7241fb2
uae-large-v1,chrome,lower,3720f614-37fd-4d04-8a6b-76f54f8c222d,0.644548,0.637688,0.00686,0.981066,2ae9ba84-3a0d-4d4c-8338-3a1478dc5fe3
uae-large-v1,chrome,lower,44ee5668-ecd5-4366-a6ce-c1c9b8d4e938,0.606052,0.577436,0.028616,0.93228,7b6c7e24-c58a-49fc-a5bb-d57b80e5b4c3
uae-large-v1,chrome,lower,47543840-672a-467d-80df-8f7c3b9788c9,0.649524,0.582112,0.067412,0.838684,1704f00f-79e6-43a7-961b-cedd3724d5fd
uae-large-v1,chrome,lower,480bcfea-d68f-4aaa-a0a9-2589ef319381,0.674586,0.621781,0.052805,0.860385,af630914-714e-4a24-a7bb-f9af687d3b91
