model,domain,n_ours,cross_floor_median,lower_median,ours_median,upper_median,ours_max,ours_p90,ours_p95,ours_p99,auc_vs_lower,auc_vs_upper,n_eval_items,eval_max_sim_to_training,flag_threshold,n_flagged
bge-large-en-v1.5,chrome,22,0.5382323265075684,0.6605916917324066,0.6680482029914856,0.9774656891822815,0.8466141223907471,,,,0.5691699604743083,1.0,46,0.8466141223907471,0.9014633893966675,0
bge-large-en-v1.5,gimp,18,0.6622841060161591,0.7315568029880524,0.8033653795719147,0.976609081029892,0.8971039056777954,,,,0.7884615384615384,1.0,26,0.8971039056777954,0.937648355960846,0
bge-large-en-v1.5,vlc,15,0.6416184306144714,0.7093183994293213,0.7805792689323425,0.9861471652984619,0.8457800149917603,,,,0.8274509803921568,1.0,17,0.8457800149917603,0.9660913944244385,0
gte-large,chrome,22,0.7742027640342712,0.8423919379711151,0.8578193783760071,0.9922113418579102,0.919553279876709,,,,0.6996047430830039,1.0,46,0.919553279876709,0.9580019116401672,0
gte-large,gimp,18,0.8228279054164886,0.8605701923370361,0.906920313835144,0.9877665638923645,0.9464324116706848,,,,0.7948717948717948,1.0,26,0.9464324116706848,0.9587684273719788,0
gte-large,vlc,15,0.8214654922485352,0.8650637269020081,0.8963769674301147,0.9930520057678223,0.9225765466690063,,,,0.8509803921568627,1.0,17,0.9225765466690063,0.9772289991378784,0
uae-large-v1,chrome,22,0.47925838828086853,0.6072884500026703,0.6313043534755707,0.9802999496459961,0.8249962329864502,,,,0.642292490118577,1.0,46,0.8249962329864502,0.8678219318389893,0
uae-large-v1,gimp,18,0.6192792057991028,0.6918333172798157,0.7826431691646576,0.9763908386230469,0.8850337862968445,,,,0.782051282051282,1.0,26,0.8850337862968445,0.9334470629692078,0
uae-large-v1,vlc,15,0.5920982360839844,0.6983404159545898,0.7704838514328003,0.9856783747673035,0.831516444683075,,,,0.8235294117647058,1.0,17,0.831516444683075,0.965563178062439,0
