model,domain,n_ours,cross_floor_median,lower_median,ours_median,upper_median,ours_max,ours_p90,ours_p95,ours_p99,auc_vs_lower,auc_vs_upper,n_eval_items,eval_max_sim_to_training,flag_threshold,n_flagged
bge-large-en-v1.5,chrome,22,0.5382323265075684,0.6605916917324066,0.6680482029914856,0.9774657487869263,0.8466141223907471,,,,0.5800395256916996,1.0,46,0.8466141223907471,0.9014634490013123,0
bge-large-en-v1.5,gimp,18,0.6622841060161591,0.7315568029880524,0.8425100147724152,0.9766092598438263,0.9149938821792603,,,,0.8376068376068376,1.0,26,0.9149938821792603,0.937648355960846,0
bge-large-en-v1.5,vlc,15,0.6416184306144714,0.7093183994293213,0.803475558757782,0.9861471652984619,0.909575343132019,,,,0.8352941176470589,1.0,17,0.909575343132019,0.9660913944244385,0
gte-large,chrome,22,0.7742027640342712,0.8423760533332825,0.8579030632972717,0.9922001957893372,0.9225938320159912,,,,0.708498023715415,1.0,46,0.9225938320159912,0.9581003785133362,0
gte-large,gimp,18,0.8228395283222198,0.8600547015666962,0.914338231086731,0.9876719415187836,0.9739608764648438,,,,0.8311965811965812,0.9935897435897436,26,0.9739608764648438,0.9587684273719788,2
gte-large,vlc,15,0.8214719295501709,0.8650709986686707,0.9093134999275208,0.9930870532989502,0.9519959688186646,,,,0.8980392156862745,1.0,17,0.9519959688186646,0.9772099852561951,0
uae-large-v1,chrome,22,0.47925838828086853,0.6072885096073151,0.6313043534755707,0.9802999496459961,0.8249962329864502,,,,0.650197628458498,1.0,46,0.8249962329864502,0.8678216934204102,0
uae-large-v1,gimp,18,0.6192792057991028,0.6918333768844604,0.8071256279945374,0.9763908982276917,0.9040752649307251,,,,0.8269230769230769,1.0,26,0.9040752649307251,0.9334470629692078,0
uae-large-v1,vlc,15,0.5920982360839844,0.6983404159545898,0.7742112874984741,0.9856783747673035,0.9053136110305786,,,,0.8235294117647058,1.0,17,0.9053136110305786,0.965563178062439,0
