model,domain,dataset,n,median,max,p90,p95,p99
uae-large-v1,chrome,verdict,22,0.6313043534755707,0.8249962329864502,,,
uae-large-v1,chrome,lower,46,0.6072885096073151,0.750173807144165,0.7149269282817841,,
uae-large-v1,chrome,cross_floor,46,0.47925838828086853,0.6435117721557617,0.5741395652294159,,
uae-large-v1,chrome,upper,46,0.9802999496459961,0.9979211688041687,0.9914888143539429,,
uae-large-v1,gimp,verdict,18,0.8071256279945374,0.9040752649307251,,,
uae-large-v1,gimp,lower,26,0.6918333768844604,0.9245429635047913,,,
uae-large-v1,gimp,cross_floor,26,0.6192792057991028,0.6987862586975098,,,
uae-large-v1,gimp,upper,26,0.9763908982276917,0.9927349090576172,,,
uae-large-v1,vlc,verdict,15,0.7742112874984741,0.9053136110305786,,,
uae-large-v1,vlc,lower,17,0.6983404159545898,0.7758324146270752,,,
uae-large-v1,vlc,cross_floor,17,0.5920982360839844,0.6987862586975098,,,
uae-large-v1,vlc,upper,17,0.9856783747673035,0.9952405691146851,,,
bge-large-en-v1.5,chrome,verdict,22,0.6680482029914856,0.8466141223907471,,,
bge-large-en-v1.5,chrome,lower,46,0.6605916917324066,0.7725078463554382,0.7439126074314117,,
bge-large-en-v1.5,chrome,cross_floor,46,0.5382323265075684,0.6767066717147827,0.6183142960071564,,
bge-large-en-v1.5,chrome,upper,46,0.9774657487869263,0.9972450733184814,0.99150750041008,,
bge-large-en-v1.5,gimp,verdict,18,0.8425100147724152,0.9149938821792603,,,
bge-large-en-v1.5,gimp,lower,26,0.7315568029880524,0.9442965984344482,,,
bge-large-en-v1.5,gimp,cross_floor,26,0.6622841060161591,0.7378944158554077,,,
bge-large-en-v1.5,gimp,upper,26,0.9766092598438263,0.9899992346763611,,,
bge-large-en-v1.5,vlc,verdict,15,0.803475558757782,0.909575343132019,,,
bge-large-en-v1.5,vlc,lower,17,0.7093183994293213,0.7764063477516174,,,
bge-large-en-v1.5,vlc,cross_floor,17,0.6416184306144714,0.7378944158554077,,,
bge-large-en-v1.5,vlc,upper,17,0.9861471652984619,0.9954679012298584,,,
gte-large,chrome,verdict,22,0.8579030632972717,0.9225938320159912,,,
gte-large,chrome,lower,46,0.8423760533332825,0.8948929905891418,0.8643428981304169,,
gte-large,chrome,cross_floor,46,0.7742027640342712,0.8447032570838928,0.8214771747589111,,
gte-large,chrome,upper,46,0.9922001957893372,0.9991013407707214,0.9955355823040009,,
gte-large,gimp,verdict,18,0.914338231086731,0.9739608764648438,,,
gte-large,gimp,lower,26,0.8600547015666962,0.9705445766448975,,,
gte-large,gimp,cross_floor,26,0.8228395283222198,0.8615341186523438,,,
gte-large,gimp,upper,26,0.9876719415187836,0.9968329668045044,,,
gte-large,vlc,verdict,15,0.9093134999275208,0.9519959688186646,,,
gte-large,vlc,lower,17,0.8650709986686707,0.8864216208457947,,,
gte-large,vlc,cross_floor,17,0.8214719295501709,0.8615165948867798,,,
gte-large,vlc,upper,17,0.9930870532989502,0.9970123767852783,,,
